guionistas,titulo,pais,votos,votacion,nota
Stanley Kubrick,La naranja mecánica ,Reino Unido,168088.0,8.2,9
Anthony Burgess,La naranja mecánica ,Reino Unido,168088.0,8.2,9
Michael Wilson,El planeta de los simios ,Estados Unidos,57106.0,7.5,9
Rod Serling,El planeta de los simios ,Estados Unidos,57106.0,7.5,9
Pierre Boulle,El planeta de los simios ,Estados Unidos,57106.0,7.5,9
Roman Polanski,La semilla del diablo ,Estados Unidos,62297.0,7.7,9
Ira Levin,La semilla del diablo ,Estados Unidos,62297.0,7.7,9
Stanley Kubrick,¿Teléfono rojo? Volamos hacia Moscú ,Reino Unido,48369.0,7.9,9
Terry Southern,¿Teléfono rojo? Volamos hacia Moscú ,Reino Unido,48369.0,7.9,9
Peter George,¿Teléfono rojo? Volamos hacia Moscú ,Reino Unido,48369.0,7.9,9
Peter George,¿Teléfono rojo? Volamos hacia Moscú ,Reino Unido,48369.0,7.9,9
Tullio Pinelli,"Fellini, ocho y medio (8½) ",Italia,21166.0,8.0,9
Federico Fellini,"Fellini, ocho y medio (8½) ",Italia,21166.0,8.0,9
Ennio Flaiano,"Fellini, ocho y medio (8½) ",Italia,21166.0,8.0,9
