directores,titulo,pais,votos,votacion,nota
Colin Bucksey,Breaking Bad (Serie de TV),Estados Unidos,102630.0,8.8,10
Michael Slovis,Breaking Bad (Serie de TV),Estados Unidos,102630.0,8.8,10
Bryan Cranston,Breaking Bad (Serie de TV),Estados Unidos,102630.0,8.8,10
Terry McDonough,Breaking Bad (Serie de TV),Estados Unidos,102630.0,8.8,10
Johan Renck,Breaking Bad (Serie de TV),Estados Unidos,102630.0,8.8,10
Rian Johnson,Breaking Bad (Serie de TV),Estados Unidos,102630.0,8.8,10
Scott Winant,Breaking Bad (Serie de TV),Estados Unidos,102630.0,8.8,10
Peter Gould,Breaking Bad (Serie de TV),Estados Unidos,102630.0,8.8,10
Tricia Brock,Breaking Bad (Serie de TV),Estados Unidos,102630.0,8.8,10
Bronwen Hughes,Breaking Bad (Serie de TV),Estados Unidos,102630.0,8.8,10
Tim Hunter,Breaking Bad (Serie de TV),Estados Unidos,102630.0,8.8,10
Jim McKay,Breaking Bad (Serie de TV),Estados Unidos,102630.0,8.8,10
Phil Abraham,Breaking Bad (Serie de TV),Estados Unidos,102630.0,8.8,10
John Dahl,Breaking Bad (Serie de TV),Estados Unidos,102630.0,8.8,10
Félix Enríquez Alcalá,Breaking Bad (Serie de TV),Estados Unidos,102630.0,8.8,10
Charles Haid,Breaking Bad (Serie de TV),Estados Unidos,102630.0,8.8,10
Peter Medak,Breaking Bad (Serie de TV),Estados Unidos,102630.0,8.8,10
John Shiban,Breaking Bad (Serie de TV),Estados Unidos,102630.0,8.8,10
David Slade,Breaking Bad (Serie de TV),Estados Unidos,102630.0,8.8,10
George Mastras,Breaking Bad (Serie de TV),Estados Unidos,102630.0,8.8,10
Thomas Schnauz,Breaking Bad (Serie de TV),Estados Unidos,102630.0,8.8,10
Sam Catlin,Breaking Bad (Serie de TV),Estados Unidos,102630.0,8.8,10
Clint Eastwood,Mystic River ,Estados Unidos,135926.0,8.0,10
Tim Burton,Sleepy Hollow ,Estados Unidos,85826.0,6.9,10
James Cameron,Titanic ,Estados Unidos,180643.0,6.8,10
David Fincher,Seven (Se7en) ,Estados Unidos,174377.0,8.3,10
